"id","user_id","created_at","lang","text","bullying_traces","type","form","teasing","author_role","emotion"
99715361292828672,140836568,"2011-08-06 05:36:09","pt","Bullying é prática comum no trabalho HTTPLINK #http_gdata_youtube_com_schemas_2007_video #VideoJus","n","","","","",""
99715380448206848,270557939,"2011-08-06 05:36:13","en","I hate cyber bully's","n","","","","",""
99716074752323584,288019916,"2011-08-06 05:38:59","in","siapa yang pernah di bully sama ade kelasnya? #persil","n","","","","",""
99716104246665216,272840873,"2011-08-06 05:39:06","en","Lol bully","n","","","","",""
99716150325280768,282370331,"2011-08-06 05:39:17","pt","@USER @USER bullying eh uma doença,kkk essa barbie","n","","","","",""
99716823255228416,175219831,"2011-08-06 05:41:57","en","I might be a little snarky sometimes but I am a GOOD fucking person and whoever is doing that stuff is a bullying asshole.","y","report","other","n","reporter","anger"
99717285824049152,32627724,"2011-08-06 05:43:48","en","I'm honestly sick of all these people who start Twitter accounts just to bully random people. Its really stupid.","y","report","cyberbullying","n","reporter","none"
99717302378967040,278242093,"2011-08-06 05:43:52","en","@USER @USER both of you stop twitter-bullying little teenage kids #itsnotfunnyanymore","y","self-disclosure","cyberbullying","n","defender","none"
99717517555142656,182696886,"2011-08-06 05:44:43","es","Jaja! Im a freaken bully sometimes! xD","y","self-disclosure","other","y","bully","none"
99718445414883328,187958928,"2011-08-06 05:48:24","es","@USER sorry te mereces bullying po perro, eres militante joven y no has hecho aparición y solo criticas","n","","","","",""
99718473428643840,42011653,"2011-08-06 05:48:31","in","memperhatikan tagar #sawityowit ... ternyata org Indonesia banyak yg berfikiran pendek, sempit, dan sangat menyukai cyber bullying.. ckckck.","n","","","","",""
99718524246835200,31068741,"2011-08-06 05:48:43","en","This nigga @USER is a bully but it's cool I'm a show his ass.","y","accusation","other","n","accuser","none"
99718741394341888,115184837,"2011-08-06 05:49:35","es","@USER ¡Para el Bulling! ya quedó claro que no te gustan.","n","","","","",""
99719217384927232,95033632,"2011-08-06 05:51:28","en","@USER I think the other girls r bullying Alex bc they want her off the show. I don't like the way that Kelly looks for","n","","","","",""
99719260867272704,72148337,"2011-08-06 05:51:39","en","@USER i think ima watch ant bully?","n","","","","",""
99719359605387264,14514956,"2011-08-06 05:52:02","en","@USER your process is irrelevant. The result is another dad-as-idiot ad. Schools are trying to teach kids not to bully or tease.","n","","","","",""
99719503407099904,41713499,"2011-08-06 05:52:36","en","HMD learned that from my brother & bully smh bad influences @USER  & @USER","n","","","","",""
99719518443667456,181335283,"2011-08-06 05:52:40","en","Was hopin to chyll w/ my bf 2nite ...but ohh no he in Bully...smh ohh ok","y","report","other","n","reporter","none"
99719661901463552,232991877,"2011-08-06 05:53:14","en","Sooo @USER Jus Said She Not Mean && Not A Bully Then She Calls Me An A$$ Hole.... #mean","y","self-disclosure","verbal","n","victim","none"
99720134180085760,134227225,"2011-08-06 05:55:07","en","@USER well you were missed. Love seeing that smiling bully face :o)","n","","","","",""
99720362488643584,37973383,"2011-08-06 05:56:01","en","@USER yes. But does that change the fact the bullying is wrong? Ignoring it doesn't make it right. Just being the bigger person :)","y","report","other","n","reporter","pride"
99720701447114752,197667682,"2011-08-06 05:57:22","en","Photoset: › “Draco’s not really a bully. He’s not exactly the biggest, strongest guy in the world. He’s more... HTTPLINK","n","","","","",""
99720822863822848,35114388,"2011-08-06 05:57:51","en","There's so much mean stuff I could say to #oomf but I don't wanna be a bully :-))","n","","","","",""
99721048538357760,161080020,"2011-08-06 05:58:45","pt","@USER Se ele te der sacolinha pra colocar nos tênis em dia de chuva, desconfie: bullying","n","","","","",""
99721162417901568,42011653,"2011-08-06 05:59:12","in","@USER hahaha.. bukan masalah humornya bung, gw penikmat sawityowit jg kok, tapi stop cyber bullying terhadap seseorang aja.. ;)","n","","","","",""
99721345641889792,83760822,"2011-08-06 05:59:56","es","@USER jajaja eso es bulling para socio?? :P Yo digo que debemos hacer un fogón de toda la toma :)","n","","","","",""
99721561833091072,100846853,"2011-08-06 06:00:47","es","@USER @USER @USER @USER @USER Por tu bien y no al bulling SALE!!!!","n","","","","",""
99721591402938368,95368869,"2011-08-06 06:00:54","en","@USER usually the admin - 4 serious incidents, bullying, etc - offiice withdrawals","n","","","","",""
99721605097332736,346276557,"2011-08-06 06:00:58","en","@USER Sorry I dont know how to work twitter but you sould like on Fb Stand for the silent its a program to stop bullying","n","","","","",""
99721996774014976,160930875,"2011-08-06 06:02:31","en","Major ‘anti-gay bullying’ group tied to Obama admin awarded five-year government grant HTTPLINK","n","","","","",""
99722481111281664,123595695,"2011-08-06 06:04:26","pt","quem sofre bullying é bulinado? tipo n","n","","","","",""
99722616427913216,96924132,"2011-08-06 06:04:59","es","hablando del bullying y el pasado bully de @USER, @USER y @USER...","n","","","","",""
99723149607841792,48953729,"2011-08-06 06:07:06","en","says, He's a bully whether they're Refs or Cops!...Sean Avery arrested in L.A. after officer shoved: HTTPLINK via @USER","y","report","other","n","reporter","none"
99723659488399360,27281121,"2011-08-06 06:09:07","en","lmao Nyia you ain't shit and you're a cyber bully.","y","accusation","cyberbullying","n","accuser","none"
99723671081463808,63754094,"2011-08-06 06:09:10","en","BULLYING THE CHUBBY COUPLE DAMN FUN LEH :D","y","self-disclosure","other","y","bully","none"
99723753747001344,19980188,"2011-08-06 06:09:30","en","@USER thank you for your kindness by volunteering yourself to become a bully-victim of mine wholeheartedly for all these years :)","y","self-disclosure","other","y","bully","none"
99723814627319808,330638961,"2011-08-06 06:09:44","en","happy Bornday @USER aka Bully enjot to the fullest","y","accusation","other","n","accuser","none"
99723856796848128,38325185,"2011-08-06 06:09:54","en","“@USER: @USER wat club???????”&lt;----- FUCK AS BULLY MAN FUCK THIS SHIT I ONLY CAME CUZ THESE NIGGAS WAS CRYING AND SHIT LOL SMH","y","report","other","n","reporter","none"
99723892238729216,29024412,"2011-08-06 06:10:03","en","@USER were in the SAME boat as being bullied!. Sucks huh?","y","self-disclosure","other","n","victim","empathy"
99724070026870784,322813645,"2011-08-06 06:10:45","en","@USER It's his way of getting revenge. I bully him so hard.  I take my job as his designated older ""sibling"" very seriously.","y","self-disclosure","other","n","bully","none"
99724089903685632,342892937,"2011-08-06 06:10:50","en","Why people always trynah bully me ?","y","self-disclosure","other","n","victim","none"
99724700275580928,73493242,"2011-08-06 06:13:16","pt","@USER Ah é podecrer mas eu esqueci, depois vc me explica de novo kkkkkk.. bullying uAHSUHA","n","","","","",""
99725784436051968,82198949,"2011-08-06 06:17:34","pt","sofro bullying só pq sou nordestino, ou paraíba, com queiram .-.","n","","","","",""
99726109817577472,64078090,"2011-08-06 06:18:52","en","I'm bulling cuz I'm at work yea ok whatever kyle","y","denial","other","n","bully","none"
99726116805279744,164376126,"2011-08-06 06:18:53","en","Ade's a bully","y","report","other","n","reporter","none"
99726635544227840,318077983,"2011-08-06 06:20:57","en","Just keep thinking ""Starve a bully, Feed yur soul"" @USER thx for being my Vinspiration &lt;3","n","","","","",""
99726766465224704,56412446,"2011-08-06 06:21:28","pt","Chega! To sofrendo bullying! Bjs","n","","","","",""
99726841971097600,158749843,"2011-08-06 06:21:46","in","@USER oooogitu yaa.. Haha asik-asik nanti ketemu iyang pengen gue bully hahahahaha","n","","","","",""
99726874208501760,314753640,"2011-08-06 06:21:54","en","@USER M: He bullied you because you're a freak. And that's all there is to it.","y","cyberbullying","verbal","n","assistant","pride"
99726975857467392,272984870,"2011-08-06 06:22:18","en","Why Do People Bully HTTPLINK via @USER","n","","","","",""
99727683679817728,82149049,"2011-08-06 06:25:07","en","#WhenIWas13 , igot chased down the 7e,7c,& 7d hall by d.a. tht mfa used to bully me lhh he wass my ngga doe #RipToDa","n","","","","",""
99727944322256896,17459894,"2011-08-06 06:26:09","en","Equality Action NOW Participates in County School Bullying Project HTTPLINK #gay #gsa #lgbt","n","","","","",""
99728002203652096,47533312,"2011-08-06 06:26:23","es","Son mas fomes estos wns no dan material para hacer bullying #lapiezaoscura","n","","","","",""
99728133078519808,36326592,"2011-08-06 06:26:54","en","3 out of 5 students are bullied. That’s 2,211,851 young people in Aussie high-schools bullied. That’s almost... HTTPLINK","n","","","","",""
99728629696708608,41748116,"2011-08-06 06:28:52","in","@USER kenapa lagi nih cyin? Kok pd rempong urusan logo? Bukannya bbrp bulan lau udh pernah kt bully ya?","n","","","","",""
99728761926320128,275601736,"2011-08-06 06:29:24","en","@USER ): you good. Everytime bully me!!!","n","","","","",""
99728827948863488,123432546,"2011-08-06 06:29:40","en","Happy b'day for my luvly bully sister @USER allways in ""Creator"" help *cipok*","n","","","","",""
99729151698808832,98690579,"2011-08-06 06:30:57","en","#WhenIWas13 it was the last year I got bullied for being FAT! Now look at me.  :P","y","self-disclosure","other","n","victim","none"
99729621897060352,183793148,"2011-08-06 06:32:49","en","#Aussie #NewsUpdate Children bullied after Fukushima: expert: 4:02 PM HTTPLINK","n","","","","",""
99730136613662720,40109983,"2011-08-06 06:34:52","pt","@USER OIA O BULLYING;","n","","","","",""
99730209883959296,98693950,"2011-08-06 06:35:09","en","@USER You are such a bully. hahah, smh. BE NICE","y","accusation","other","y","accuser","none"
99730294457909248,162228554,"2011-08-06 06:35:29","en","@USER I'm like this 24/7 I've been bullied and abused since I was born...","y","self-disclosure","other","n","victim","none"
99730670116544512,230499784,"2011-08-06 06:36:59","pt","@USER Por aqui também...eu sofro bullying por amar pepsi kkkk","n","","","","",""
99731197718040576,229649931,"2011-08-06 06:39:05","en","@USER I like your Twitcon bully !","n","","","","",""
99732196373446656,37668874,"2011-08-06 06:43:03","en","DeDe just called Coyya a cyber dumb ass bully . lol","y","report","verbal","y","reporter","none"
99732233572720640,257329451,"2011-08-06 06:43:12","en","I dnt get cyber bullying. Yeah it's bad 2 bully ppl on the Internet but if u dnt want it 2 happen, why wud u be on social networking sites","y","report","other","n","reporter","none"
99733329888288768,328299858,"2011-08-06 06:47:33","en","#NoHate  please @USER  she sweet amazing cool and talented even @USER  said she cool please stop that like bullying","y","self-disclosure","other","n","defender","none"
99733755371077632,231305187,"2011-08-06 06:49:14","en","i wish people didnt bully other people :/","y","report","other","n","reporter","none"
99734939041398784,49925124,"2011-08-06 06:53:57","in","Jangan ganggu gue lagi, atau jangan salahin gue kalo follower gue bully elo! #NolakBalikan #AncamanSelebTwitter #combo","n","","","","",""
99735018036928512,241654118,"2011-08-06 06:54:15","en","#whatifazombie came on twitter and posted on @USER timeline to stop posting stuff about himself and claims its bullying? Haha","n","","","","",""
99735173398134784,94912172,"2011-08-06 06:54:52","en","#time for School Bullying Awareness & Prevention? #moms #dads &gt; HTTPLINK #parenting #health","n","","","","",""
99735628861812736,345056455,"2011-08-06 06:56:41","en","bit.ly/9sQiZi Open Question: How can i delete my yahoo account?: I got tired of facebook bitches bullying me so I quit fb and got on ...","y","self-disclosure","verbal","n","victim","anger"
99735751901716480,49666488,"2011-08-06 06:57:10","in","bngstbngsttttttt semuaaa ¬_¬ gada debby gua yg kena bully......","n","","","","",""
99736037185683456,37837747,"2011-08-06 06:58:18","en","@USER Lmao... how could I have possibly bullied you??? you were bigger than me! lol","y","denial","other","y","bully","none"
99736378555904000,86890296,"2011-08-06 06:59:40","en","If there's a well known bully at your firm who ploughs through staff, but you think they'd probably get on fine with you - #umustbecrazy","n","","","","",""
99736449032794112,103229974,"2011-08-06 06:59:57","en","BE A Buddy , NOT A Bully","n","","","","",""
99736587373527040,106293519,"2011-08-06 07:00:30","es","Feliii cumple amiguita hermosa @USER  te queroooo y aunq paresca bulling tantoo saludoo no lo es bueno sii un poquiiiitoo jajajaja!","n","","","","",""
99736751999954944,33140068,"2011-08-06 07:01:09","es","@USER sufrió parte del bullying de gatos callejeros. No fue la onda para el.","n","","","","",""
99737020884193280,185714725,"2011-08-06 07:02:13","pt","bullying com joao queijo ricota @USER","n","","","","",""
99737423885500416,220044325,"2011-08-06 07:03:49","en","@USER lol jk your a bully to me","y","accusation","other","y","accuser","none"
99737750886035456,134184675,"2011-08-06 07:05:07","en","He is always laughing at me because he is a bully damnit! #Ashley","y","self-disclosure","verbal","n","victim","anger"
99738029979213824,148172315,"2011-08-06 07:06:14","en","@USER is a bully ! Someone gon shoot her big head ass !","y","report","other","n","reporter","anger"
99738325677649920,64650970,"2011-08-06 07:07:24","en","@USER Woah, what's Clifford the bully doing in Clarissa's house?","y","report","other","n","reporter","none"
99739153708761088,228910974,"2011-08-06 07:10:41","en","@USER Bully !","y","accusation","other","n","accuser","none"
99739469661478912,95746963,"2011-08-06 07:11:57","en","Lhdab @ this child here...do ya homework jerk, u new 2d play ground, I'm a school yard bully u new kid","y","self-disclosure","other","n","bully","none"
99739611458310144,152165997,"2011-08-06 07:12:31","en","im bullyed :(","y","self-disclosure","other","n","victim","sadness"
99740273571147776,39889674,"2011-08-06 07:15:08","en","Yoochun: Junsu's very existence is troubling. HAHAHA BULLYING SUSU 101","n","","","","",""
99740870219272192,64650970,"2011-08-06 07:17:31","en","@USER Yeah, it's how Clarissa explained it. He's the school bully.","y","report","other","n","reporter","none"
99742225583439872,237881856,"2011-08-06 07:22:54","en","@USER dude leave my knee alone ! Gosh you bully","y","accusation","other","n","accuser","none"
99742234248880128,74626492,"2011-08-06 07:22:56","en","stop making fun of amy winehouse and michael jackson, #rickcastellano is a bully.","y","self-disclosure","other","n","defender","none"
99742751041658880,37134339,"2011-08-06 07:24:59","en","Cyber Bully = @USER","n","","","","",""
99743051718737920,332751067,"2011-08-06 07:26:11","en","Trae swift da only dude ikno dat wuz fat wid Cornrows,  beard wore Jerseys ankle soCCs n thought he was a bully #goplayatdadeliorsumm","n","","","","",""
99743699822575616,68702863,"2011-08-06 07:28:45","en","@USER aww sorry Dave, I'll wait til I see you in person to bully you...","n","","","","",""
99743879477202944,42178504,"2011-08-06 07:29:28","en","@USER me either bully!","y","accusation","other","n","accuser","none"
99743900431958016,322379654,"2011-08-06 07:29:33","en","@USER  I know people can be so cruel. Sometimes I think these people bully just because they are unhappy themselves","n","","","","",""
99744191508250624,324809492,"2011-08-06 07:30:43","en","@USER   Bullying Needs To Stop Ur Such A Awesome And Amazing Person For Standing Agents It :). Love u bella&lt;3","n","","","","",""
99744261372772352,72282157,"2011-08-06 07:30:59","en","Reading a book abt bullying quite interesting","n","","","","",""
99744389139677184,187398973,"2011-08-06 07:31:30","et","Bully na Jiyeon e na Suzy, coitadas.","n","","","","",""
99744772163510272,33039522,"2011-08-06 07:33:01","en","#WhenIWas13 there was no spell check, texting, or cyber bullying. And we called each other from our hard wired home phones.","n","","","","",""
99745246186975232,216768797,"2011-08-06 07:34:54","en","This morning I feel like I have a ""bullied brain"" with memories of friends and family that are gone.   The brain's... HTTPLINK","n","","","","",""
99745443562536960,97019810,"2011-08-06 07:35:41","nl","En weer naar Bully's :D","n","","","","",""
99745707417808896,51472754,"2011-08-06 07:36:44","en","Fizz, stop bullying Jake, you slut.","y","self-disclosure","other","n","defender","anger"
99745970476154880,151315625,"2011-08-06 07:37:47","en","#WhenIwas13 I was talked about, laughed at, bullied & once jumped.","y","self-disclosure","verbal","n","victim","none"
99746035454312448,135655587,"2011-08-06 07:38:02","en","@USER YEAH! I hate that he was bullied D:","y","report","other","n","reporter","none"
99746159169515520,88350190,"2011-08-06 07:38:32","en","Tell @USER: Denounce anti- #gay bullying in your district! HTTPLINK #lgbt #p2 #itgetsbetter","n","","","","",""
99746362161242112,310425831,"2011-08-06 07:39:20","en","I don't understand who would bully vinny, he's just so amazing! D: and flipping adorable! &lt;3 @USER","y","report","other","n","reporter","none"
99746770476736512,26538758,"2011-08-06 07:40:57","en","@USER   @USER -I'm taking a stand against bullying starting with this drawing #StopBullying-follow me plz HTTPLINK","n","","","","",""
99747246307934208,109989592,"2011-08-06 07:42:51","es","@USER eso noes bulling, eso es ser pervertido XD","n","","","","",""
99747271683489792,14987054,"2011-08-06 07:42:57","en","@USER @USER Cool! nTyson on 2 podcasts nxt wk! Don't let bill bully you, just cuz he's got a throne in the middle.","y","self-disclosure","other","n","defender","none"
99747773766828032,216768797,"2011-08-06 07:44:57","en","This morning I feel like I have a ""bullied brain"" flooded with memories of friends and family lost.  The amygdala... HTTPLINK","n","","","","",""
99748356959645696,240894083,"2011-08-06 07:47:16","en","Nothing gets me more geeked up for the football season then Raider Haters! We are building a bully here, just wait and see","n","","","","",""
99750161391169536,29535508,"2011-08-06 07:54:26","en","So, the White House is now trying to bully S&P to reverse the downgrade! Fun n games.","n","","","","",""
99751296562757632,213603228,"2011-08-06 07:58:57","en","What’s the point in bullying someone? How can it bring satisfaction to people? It hurts the person you’re bullying and ultimately yourself.","n","","","","",""
99751570224320512,285771604,"2011-08-06 08:00:02","in","@USER lagi di bully wk. Yang tabah ya nak!","n","","","","",""
99751938282889216,123227311,"2011-08-06 08:01:30","en","@USER Can speak from experience that's invaluable job. Helped me stand up to workplace bully and become published writer!","y","self-disclosure","other","n","victim","none"
99752908584783872,19154007,"2011-08-06 08:05:21","en","Tell @USER: Denounce anti- #gay bullying in your district! HTTPLINK #lgbt #p2 #itgetsbetter","n","","","","",""
99753336630288384,349539262,"2011-08-06 08:07:03","pt","0505 e eu aqui sofrendo bullying da vida","n","","","","",""
99753347963297792,333337610,"2011-08-06 08:07:06","en","The Hardcore Justice card: Mai jos aveti card-ul updatat pentru PPV-ul TNA: The Hardcore Justice: Bully Ray vs. ... HTTPLINK","n","","","","",""
99753870418391040,201667404,"2011-08-06 08:09:10","en","Haters, you have to learn the difference between BULLYING and DEFENDING","y","denial","other","n","bully","none"
99755477218492416,70292335,"2011-08-06 08:15:33","en","Whenever I was sad or needed a kind word he was there.. Now he's the neighborhood twitter bully lol","y","report","cyberbullying","y","reporter","none"
99756501282992128,347839429,"2011-08-06 08:19:37","ko","@USER HTTPLINK Kim jae joong! 누가 당신을 괴롭 혔?????Who bullied you!머리가 높은,다시 …","n","","","","",""
99757495643414528,124003770,"2011-08-06 08:23:35","en","Michelle ( Heartless Bitch) Bachman WON'T Sign Anti-bullying law Cause She Doesn't want 2 ""turn boys in2 girls"" WTF ?@USER","n","","","","",""
99757695908847616,149102409,"2011-08-06 08:24:23","in","Akhir2 ini disekolah di bully mulu sama @USER, Anthony & Budi (ʃ˘̩̩̩~˘̩̩̩ƪ)‎​","n","","","","",""
99757907683450880,149102409,"2011-08-06 08:25:13","in","Akhir2 ini disekolah jadi serba salah, di bully mulu sama @USER, Anthony & Budi (ʃ˘̩̩̩~˘̩̩̩ƪ)‎​","n","","","","",""
99758670728003584,182701909,"2011-08-06 08:28:15","en","BUT I'm no Bully","y","denial","other","n","bully","none"
99758947602403328,16977648,"2011-08-06 08:29:21","en","No I don't smoke. No I don't get trashed. No I don't take the piss out of people. No I don't bully. Yes I do have morals","n","","","","",""
99759304583823360,21874289,"2011-08-06 08:30:46","en","Continuing to deliver best outcomes in situations of workplace bullying. Avoid legal and other expenses - who can afford them today?","n","","","","",""
99759669815418880,200352426,"2011-08-06 08:32:13","in","@USER gw bacot? GW BACOT!! @USER MAMIIIIIII AKU D BULLY CINAAAA :'(","n","","","","",""
99759933976870912,70356261,"2011-08-06 08:33:16","in","di-bully satu kantor...... naseb!! :'(((","n","","","","",""
99760159382962176,247191345,"2011-08-06 08:34:10","en","@USER Crying :'( Nothing has changed, nothing. It's a silent Coup using #Jan25 as the bullet. The picture is clear now, the plan revealed.","n","","","","",""
99760311367761920,313321117,"2011-08-06 08:34:46","en","#10ReasonsToFollowMe 4) I'm a nice person, I don't mean that arrogance. I will not bully or hate. not in real life, not on twitter.","n","","","","",""
99760378795397120,86194109,"2011-08-06 08:35:02","en","I don't know why she's always bullying me when I'm down ..","y","self-disclosure","other","n","victim","none"
99761062882181120,26170804,"2011-08-06 08:37:45","en","*a random bully appears* me: :) ohai. I shall just be nice to you until you go away. #Tumblrproblems","n","","","","",""
99761302527934464,24389229,"2011-08-06 08:38:42","en","Disney Channel (VL), NL DUB, 1035-1045 (watching Phineas and Ferb, The Bully Code S02E31) HTTPLINK","n","","","","",""
99761448141590528,231713050,"2011-08-06 08:39:17","en","@USER is fuckn Twitter Bully, die slow u grenade launcher","y","report","cyberbullying","n","reporter","none"
99761575770066944,77163079,"2011-08-06 08:39:47","en","SAVE $12.52 - Bully Dog 33307 Custom A Pillar Mount $67.47 HTTPLINK","n","","","","",""
99761730351153152,45096596,"2011-08-06 08:40:24","en","Fat kid bullied and bullie went wrong - must watch to the end,very funny via @USER #Funny_Videos HTTPLINK","n","","","","",""
99762099936440320,64825181,"2011-08-06 08:41:52","en","@USER dude expect the #sneijder crap today lol! my sympathies oh gazzetta bulling again #wankers hes coming to #mufc","y","report","other","n","reporter","none"
99762774695092224,288012232,"2011-08-06 08:44:33","en","Lol we use to bully him !","y","self-disclosure","other","y","bully","none"
99764211932086272,284486558,"2011-08-06 08:50:16","en","Whoever bullied Justin last time, i bet they've really regret it d: haha . He was a zero but now he's our hero ❤","y","self-disclosure","other","n","defender","none"
99765744644001792,94912172,"2011-08-06 08:56:21","en","Bullying  in Schools in the top 5 list of Parental concerns for #kids, students..HTTPLINK #educate #parents #family #moms","n","","","","",""
99765932003561472,297368726,"2011-08-06 08:57:06","en","@USER good luck mate bully there back line big man","n","","","","",""
99766419553656832,249351666,"2011-08-06 08:59:02","en","Why do emotionally small minded idiots who use emotional blackmail and bullying tactics survive past the age of 20 years...","n","","","","",""
99766577611816960,19501365,"2011-08-06 08:59:40","en","@USER just watched you on alan carr chatty man on virgin demand.. Your so an inspiration. I've been bullied for the past 20 yrs x","y","self-disclosure","other","n","victim","none"
99767401436033024,31500873,"2011-08-06 09:02:56","en","feels like a bully.....","n","","","","",""
99768463127625728,150849162,"2011-08-06 09:07:09","en","@USER aha, I'm glad I was w/ you tonight :). Even tHough your a bully :/","y","accusation","other","y","accuser","none"
99769083721027584,269572174,"2011-08-06 09:09:37","en","@USER i need your advice about bullying","y","self-disclosure","other","n","victim","none"
99769206710599680,127687945,"2011-08-06 09:10:07","en","The only way to avoid the abuse from many was to date the king bully. That narrowed the abuse down to parents & man. #realtalk","n","","","","",""
99769964474548224,22103946,"2011-08-06 09:13:07","en","The ""LOVE PINK CAMPAIGN"" for Self Love, Anti- Bullying, Ovarian Cancer, and NOH8 COMIN SOON!!!!!!! #TEAMISP #UnknownCelebrityPR  #weWorkin","n","","","","",""
99770512842043392,39799025,"2011-08-06 09:15:18","in","@USER iya :( gue sama jaki sakit tapi semangat nge bully momo tetep tinggi. Hahaha","n","","","","",""
